#LOCH [NUMMER]    \Delta t    u_einf  u_refl      gemessener abstand zum Rand [mm]        Radius [mm]
1   06.2  1.096  0.145   06.70   #3
2   12.2  1.096  0.092   09.65   #3
3   17.9  1.096  0.072   22.60   #3
4   23.8  1.096  0.079   30.55   #3
5   29.6  1.096  0.079   38.70   #3
6   35.0  1.096  0.072   45.95   #4.1
7   40.5  1.096  0.057   53.65   #5
8   46.0  1.096  0.037   61.10   #6
9   41.7  1.096  0.040   54.15   #1.4
10  14.1  1.096  0.074   17.75   #10
11  15.20  1.096  0.074   19.40   #1.4



