# messtiefe bei 70% = 611rpm
#Messtiefe [\mu]    \Delta v        streuintensität
13                   122                  54
13.5                 134                  69
14                   189                  82
14.5                 171                  86
15                   195                  109
15.5                 171                  82
16                   146                  85
16.5                 140                  61
17                   131                  52
17.5                 128                  55
18                   159                  75
18.5                 171                  108
19                   177                  110
19.5                 171                  0
