#T1     T2 (L = 71cm) |||||||||         T1      T2 ( L= 32 cm)
1.718   1.754                         1.312      1.288                    
1.73    1.692                         1.31       1.282               
1.732   1.702                         1.258      1.324                
1.732   1.684                         1.238      1.284                
1.698   1.706                         1.238      1.286                
1.658   1.66                          1.42       1.308               
1.726   1.678                         1.278      1.3                
1.712   1.74                          1.28       1.292               
1.746   1.714                         1.316      1.214                
1.762   1.762                         1.236      1.284                
1.682   1.668                         1.314      1.218            
1.658   1.644                         1.318      1.306                
1.76    1.714                         1.276      1.276                
1.704   1.786                         1.338      1.306                
1.742   1.748                         1.298      1.298                
1.688   1.724                         1.298      1.306                
1.712   1.726                         1.28       1.286                
1.718   1.726                         1.334      1.33               
1.74    1.688                         1.304      1.31                
1.732   1.686                         1.368      1.317                  
