#    d [mm](start bei 85)     V [volt]
11        7.52
13       7.13 
15       6.89 
17       6.57 
19       6.38 
21       6.18 
23       5.94 
25       5.74 
27       5.54 
29       5.39 
31       5.23 
33       5.07 
35       4.95 
40       4.63 
45       4.32 
50       4.04 
55       3.84 
65       3.50 
75       3.15 
95       2.65 
115       2.24 
135       1.94 
155       1.76 
175       1.58 
195       1.43 
215       1.31 
265       1.13 
315       0.93 
365       0.82 
415       0.75 
515       0.75
