# f[hz]               U [volt]                      phi[degree]
      10             18.50                       7.2    
      30             18.30                       10.368 
      70             16.24                       31.248 
     100             13.97                       41.76  
     300              6.57                       69.12  
     700              2.95                       80.64  
    1000              2.09                       90.52  
    2000              1.05                       100.84  
    3000              0.70                       110.128 
    4000              0.53                       120.856 
    5000              0.42                       130.28  




