#x [10^-3 m]         I [10^-9 A]
0          0.55 
2          0.53 
4          0.92 
6          0.55 
8          0.48 
10         0.5 
11         0.42 
12         0.32 
13         0.31 
14         0.37 
15         0.48 
16         0.3 
17         0.77 
18         0.91 
19         0.64 
20         0.55 
20.5       0.89
21         0.92 
21.5       270 
22         440 
22.5       800 
23         1100 
23.5       1200 
24         1580 
24.5       1900 
25         1700 
25.5       1650 
26         1950 
26.5       1560 
27         1050 
27.5       1100 
28         800 
28.5       400 
29         265 
29.5       200 
30         60 
31         45 
32         67 
33         58 
34         60 
35         15 
36         27 
37         22 
38         26 
39         24 
40         6 
42         13 
44         10 
46         8 
48         8 
50         4 
