#x [10^-3 m]         I [10^-9 A]
0          05.5 
2          05.3 
4          09.2 
6          05.5 
8          04.8 
10         0.5 
11         04.2 
12         03.2 
13         03.1 
14         03.7 
15         04.8 
16         0.3 
17         07.7 
18         09.1 
19         06.4 
20         05.5 
20.5       08.9 
21         09.2 
21.5       27.0 
22         44.0 
22.5       80.0 
23         110.0 
23.5       120.0 
24         158.0 
24.5       190.0 
25         170.0 
25.5       165.0 
26         195.0 
26.5       156.0 
27         105.0 
27.5       110.0 
28         80.0 
28.5       40.0 
29         26.5 
29.5       20.0 
30         6.0 
31         4.5 
32         6.7 
33         5.8 
34         6.0 
35         1.5 
36         2.7 
37         2.2 
38         2.6 
39         2.4 
40         0.6 
42         1.3 
44         1.0 
46         0.8 
48         0.8 
50         0.4 
