#x [10^-3 m]        I [10^-9 A]
0             1.05      
2             0.7  
4             0.05  
6             0.5  
8             1.8  
10            2.6  
11            2.7  
12            2.6  
13            1.9  
14            1.4  
15            1.2  
16            2.2  
17            4.2  
18            7.4  
19            96  
20            140  
20.5          178      
21            200  
21.5          210      
22            250  
22.5          268      
23            295  
23.5          306      
24            312  
24.5          339      
25            340  
25.5          340      
26            330  
26.5          320      
27            302  
27.5          282      
28            260  
28.5          240      
29            215  
29.5          190      
30            160  
31            115  
32            8.2  
33            5.3  
34            2.4  
35            1.3  
36            1.2  
37            1.8  
38            2.9  
39            3.4  
40            3.4  
42            2.8  
44            1.2  
46            0.45  
48            0.8  
50            1.6  
