#x [10^-3 m]        I [10^-9 A]

0             10.5      
2             07  
4             00.5  
6             05  
8             18 
10            26  
11            27  
12            26  
13            19  
14            14  
15            12  
16            22  
17            42  
18            74  
19            96  
20            140  
20.5          178      
21            200  
21.5          210      
22            250   
22.5          268      
23            295  
23.5          306      
24            312  
24.5          339      
25            340  
25.5          340      
26            330  
26.5          320      
27            302  
27.5          282      
28            260  
28.5          240      
29            215  
29.5          190      
30            160  
31            115  
32            82  
33            53  
34            24  
35            13  
36            12  
37            18  
38            29  
39            34  
40            34  
42            28  
44            12  
46            04.5  
48            08  
50            16  
