#   I [nanoAmpere]      U[volt]
2.60                  -19.14
2.50                  -18.00
2.45                  -16.00
2.40                  -14.01
2.30                  -12.02
2.20                  -10.01
2.09                  -09.02
2.05                  -08.02
2.00                  -07.01
1.81                  -06.00
1.75                  -04.98
1.55                  -04.00
1.30                  -02.99
1.00                  -01.99
0.89                  -01.80
0.82                  -01.60
0.75                  -01.40
0.70                  -01.20
0.63                  -01.00
0.57                  -00.90
0.52                  -00.80
0.47                  -00.70
0.42                  -00.60
0.38                  -00.50
0.24                  -00.40
0.20                  -00.30
0.13                  -00.20
0.07                  -00.10
0.04                  -00.00
0                       0.10
0                       0.20
0                       0.30
0                       0.40
0                       0.50
0                       0.60
0                       0.70
0                       0.80
0                       0.90
0                       1.00
0                       1.20
-0.001                  1.40
-0.002                  1.60
-0.003                  1.80
-0.004                  2.00
-0.008                  3.00
-0.010                  4.00
-0.014                  5.00
-0.018                  6.00
-0.022                  7.00
-0.026                  8.00
-0.032                  9.00
-0.036                 10.00
-0.040                 12.00
-0.046                 14.00
-0.050                 16.00
-0.048                 18.00
-0.048                 20.00
