#   I [nanoAmpere]      U[volt]
2.78               -1.998
2.63               -1.801
2.40               -1.602
2.25               -1.395
2.15               -1.201
1.90               -1.001
1.80               -0.900
1.75               -0.799
1.60               -0.700
1.40               -0.597
1.25               -0.499
1.15               -0.399
0.95               -0.301
0.85               -0.200
0.70               -0.099
0.45               -0.001
0.25                0.100
0.15                0.200
0.10                0.300
0.08                0.401
0.04                0.502
