#   I [nanoAmpere]      U[volt]
2.50                -2.000
2.30                -1.799
2.25                -1.595
2.05                -1.398
1.90                -1.198
1.70                -1.001
1.55                -0.899
1.45                -0.798
1.35                -0.699
1.25                -0.601
1.20                -0.501
1.02                -0.401
0.90                -0.301
0.80                -0.200
0.68                -0.098
0.60                -0.001
0.50                 0.101
0.40                 0.201
0.29                 0.300
0.25                 0.402
0.15                 0.501
0.10                 0.601
0.05                 0.700
0.00                 0.799
